iter	Logloss
0	0.3664516868
1	0.2604677616
2	0.2169000467
3	0.1899283644
4	0.177291488
5	0.1705970284
6	0.1670858035
7	0.163796336
8	0.1616398462
9	0.1588798393
10	0.1574926919
11	0.1549255367
12	0.1534245133
13	0.1516077215
14	0.1504995714
15	0.1491657447
16	0.1477550708
17	0.146475874
18	0.1455196324
19	0.1445157297
20	0.1435541904
21	0.1421461188
22	0.1413716411
23	0.1407513115
24	0.1392051496
25	0.1380000095
26	0.1370845867
27	0.1360322753
28	0.1353662967
29	0.1340259331
30	0.1325422456
31	0.1319145026
32	0.1305167145
33	0.1293302069
34	0.128097347
35	0.1266974518
36	0.1255194259
37	0.1254421396
38	0.1247630861
39	0.1238496356
40	0.1224896576
41	0.1223131103
42	0.1219946155
43	0.1209607121
44	0.1202012803
45	0.1195189209
46	0.1182243451
47	0.117259907
48	0.1162185887
49	0.1157324619
50	0.1151689598
51	0.1149632862
52	0.1142155485
53	0.1128855562
54	0.1115391186
55	0.1106070217
56	0.1096434835
57	0.1088251433
58	0.1079605485
59	0.1074504903
60	0.1062187905
61	0.1052659804
62	0.1051376625
63	0.1043473381
64	0.1035806732
65	0.1030183377
66	0.1028652376
67	0.1021628362
68	0.1011043409
69	0.1009107714
70	0.1004255575
71	0.09930314692
72	0.09769095013
73	0.09655788337
74	0.09604141849
75	0.09557228562
76	0.09489853179
77	0.09389658542
78	0.09315277475
79	0.09248046293
80	0.09219606353
81	0.09208359915
82	0.09148816198
83	0.09074595291
84	0.09037388397
85	0.08953663174
86	0.08851856315
87	0.08775176202
88	0.08713128489
89	0.08670145915
90	0.08609669422
91	0.0858752775
92	0.08553122638
93	0.08480188454
94	0.0842852128
95	0.08347429874
96	0.08334424707
97	0.08255252943
98	0.08221302045
99	0.08196016148
