iter	Passed	Remaining
0	139	13827
1	250	12286
2	374	12118
3	498	11964
4	629	11954
5	752	11781
6	880	11694
7	1006	11577
8	1151	11639
9	1282	11546
10	1430	11576
11	1569	11512
12	1695	11343
13	1819	11178
14	1943	11012
15	2070	10870
16	2200	10742
17	2319	10565
18	2435	10384
19	2574	10297
20	2693	10132
21	2816	9986
22	2937	9835
23	3054	9672
24	3190	9571
25	3306	9411
26	3421	9250
27	3545	9117
28	3664	8972
29	3782	8825
30	3911	8706
31	4027	8557
32	4162	8450
33	4280	8310
34	4399	8170
35	4527	8049
36	4651	7920
37	4760	7767
38	4881	7635
39	5008	7512
40	5145	7404
41	5282	7295
42	5402	7161
43	5529	7037
44	5654	6910
45	5772	6776
46	5902	6656
47	6029	6532
48	6180	6432
49	6486	6486
50	6617	6357
51	6733	6215
52	6851	6076
53	6978	5944
54	7115	5821
55	7233	5683
56	7361	5553
57	7481	5417
58	7859	5461
59	8046	5364
60	8173	5225
61	8303	5089
62	8418	4943
63	8533	4800
64	8663	4665
65	8779	4522
66	8918	4392
67	9121	4292
68	9274	4166
69	9398	4027
70	9517	3887
71	9647	3751
72	9774	3615
73	9900	3478
74	10021	3340
75	10150	3205
76	10270	3067
77	10400	2933
78	10518	2796
79	10638	2659
80	10763	2524
81	10873	2386
82	10997	2252
83	11148	2123
84	11287	1991
85	11421	1859
86	11542	1724
87	11673	1591
88	11792	1457
89	11919	1324
90	12050	1191
91	12179	1059
92	12316	927
93	12455	795
94	12622	664
95	12759	531
96	12871	398
97	12990	265
98	13124	132
99	13247	0
